ckey,lat,long,alt
D11_20190202_211438_9653,31.80769,-96.0149,17.0067154155221
D11_20190202_211438_9653,31.80679,-96.01253,17.1767825696773
D11_20190202_211438_9653,31.80595,-96.01038,17.348550395374
D11_20190202_211438_9653,31.80486,-96.00824,17.5220358993278
D11_20190202_211438_9653,31.80384,-96.00563,17.6972562583211
D11_20190202_211438_9653,31.80294,-96.00311,17.8742288209043
D11_20190202_211438_9653,31.80191,-96.00088,18.0529711091133
D11_20190202_211438_9653,31.80095,-95.99843,18.2335008202044
D11_20190202_211438_9653,31.79998,-95.99606,18.4158358284065
D11_20190202_211438_9653,31.79812,-95.99368,18.5999941866906
